state_ID,State_,Tot_Pop,Year,Pop_Dist_White,Pop_Dist_Black,Pop_Dist_Hispanic,Pop_Dist_Asian,Pop_Dist_Am_In,Pop_Dist_Nat_Haw_Pac_Isl,Pop_Dist_Mult_race,Povbr_White,Povbr_Black,Povbr_Hispanic,Povbr_As_PI,Povbr_Am_Na,Povbr_Multiple_Races,Mean_Unempl,Tot_GSP_Mil,snap_tot_ben_Mil,SNAP_no_rep,Pov_Ad_Ch,Pov_Ad_No,Pov_Ad_Tot,Ad_Poor_MH_zero,Ad_Poor_MH_four,Ad_Poor_MH_thirteen,Ad_Poor_MH_fourteen,Cov_Vacc_one
23,Michigan,10083356,2023,73,13,6,3,0,0,5,11,26,17,11,15,17,195490,670690.4,3609837867,1430173.75,12,13,13,54,15,15,17,117395415
24,Minnesota,5753048,2023,76,7,6,5,1,0,5,7,25,15,9,31,10,88205,480189.5,1440695709,460568.08,7,10,9,55,18,13,14,84495223
25,Mississippi,2943172,2023,55,36,4,1,0,0,4,12,27,25,15,38,17,39286,148242.5,849321253,399186.33,16,17,17,59,14,12,15,80878862
26,Missouri,6208038,2023,77,11,5,2,0,0,5,10,19,14,11,22,16,94278,430368.8,1518865893,665252.33,10,12,11,58,14,11,17,34838808
27,Montana,1131302,2023,84,1,5,1,5,0,5,10,0,17,0,30,16,16414,72036.7,167544091,84526.83,9,13,12,54,15,13,18,13861255
28,Nebraska,1987864,2023,75,4,13,3,1,0,5,8,18,15,10,25,15,23876,180930,313771156,156399.17,8,11,10,60,15,12,13,182867369
29,Nevada,3214363,2023,44,9,30,9,1,1,7,10,19,13,9,17,16,82212,247104.5,1155507853,493015,11,11,11,54,14,12,20,10032585
30,New Hampshire,1402199,2023,87,1,5,3,0,0,5,7,0,12,0,0,8,16528,113588.7,187231231,74617.33,5,8,7,56,16,13,15,22956894
31,New Jersey,9379642,2023,51,12,23,10,0,0,5,7,15,16,5,0,9,213509,817354.1,1975496233,779349.42,9,8,9,58,15,13,14,22783271
32,New Mexico,2121164,2023,36,2,49,2,8,0,4,10,20,21,8,31,18,36083,133489.5,1294851966,488363.5,19,15,16,58,14,12,16,152380465
33,New York,19737367,2023,53,13,20,9,0,0,5,10,19,21,15,23,14,408822,2189391.4,8278153441,2886162.5,13,13,13,57,15,14,14,37640584
34,North Carolina,10881189,2023,60,20,11,3,1,0,5,10,19,20,10,24,14,180800,783202.4,4041086120,1594275.17,12,12,12,58,15,12,15,45446239
35,North Dakota,789047,2023,82,3,4,1,5,0,5,9,0,15,0,28,10,7801,74913.9,98270022,45153.08,7,12,10,59,16,13,13,349197197
